"","Ib_FALSE.mean_RT","Ib_FALSE.Fly_021","Ib_FALSE.Fly_023","Ib_FALSE.Fly_024","Ib_FALSE.Fly_025","Ib_FALSE.Fly_026","Ib_FALSE.Fly_031","Ib_FALSE.Fly_032","Ib_FALSE.Fly_034","Ib_FALSE.Fly_035","Ib_FALSE.Fly_036"
"P228",40.3451,40.343,40.343,40.329,40.35,40.357,40.343,40.364,40.336,40.35,40.336
"P229",40.5395,0,0,40.529,0,0,0,40.55,0,0,0
"P230",40.6723333333333,0,40.674,0,0,40.681,0,0,0,0,40.667
"P231",40.766,40.764,40.764,40.757,40.771,40.778,40.764,40.777,40.757,40.764,40.764
"P232",40.8535,0,0,40.84,0,0,0,40.867,0,0,0
"P233",41.0036,41.005,40.998,40.998,41.005,41.005,40.998,41.019,41.005,41.005,40.998
"P234",41.1042,41.109,0,0,41.102,41.115,0,41.108,0,41.102,0
"P235",41.2066666666667,0,0,41.191,0,0,0,41.205,0,41.219,0
"P236",41.3898,41.391,41.391,41.364,41.398,41.412,41.391,41.398,41.378,41.398,41.377
"P237",41.448,0,41.453,0,0,0,0,41.46,41.433,41.446,0
"P238",41.4971666666667,41.502,0,0,41.508,41.509,41.495,0,41.488,0,41.481
"P239",41.7636,41.778,41.778,41.702,41.77,41.812,41.722,41.832,41.729,41.777,41.736
"P240",41.961,41.971,41.964,41.943,41.957,41.977,41.95,41.991,41.95,41.964,41.943
"P241",42.0974,42.102,42.095,42.088,42.101,42.108,42.088,42.115,42.088,42.101,42.088
"P242",42.224,0,0,42.219,0,0,0,0,0,0,0
"P243",42.3431428571429,42.336,0,42.336,42.343,42.357,42.343,42.356,0,0,42.336
"P244",42.4816,42.481,42.488,42.467,42.474,42.481,42.474,42.508,42.481,42.488,42.474
"P245",42.7101111111111,42.729,42.736,0,42.736,42.743,42.681,42.701,42.736,42.646,42.688
"P246",42.793,42.798,0,0,42.791,0,0,42.805,0,0,0
